date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:07:28	110777/110777	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-1b0b9%22	https://getbootstrap.com/docs/4.1/components/navs/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/navs/index.html	(from )
14:07:28	92684/92684	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-16a0c%22	https://getbootstrap.com/docs/4.1/components/navbar/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/navbar/index.html	(from )
14:07:28	45047/45047	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-aff7%22	https://getbootstrap.com/docs/4.1/components/pagination/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/pagination/index.html	(from )
14:07:30	37933/37933	---MCZ	200	added ('OK')	application/javascript	etag:W/%22942d-57b1977a527e2%22	https://cdn.carbonads.com/carbon.js?serve=CKYIKKJL&placement=getbootstrapcom	C:/My%20Web%20Sites/Bootstrap/cdn.carbonads.com/carbon7e4a.js	(from https://getbootstrap.com/docs/4.1/getting-started/introduction/)
14:07:30	42111/42111	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-a47f%22	https://getbootstrap.com/docs/4.1/components/progress/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/progress/index.html	(from )
14:07:30	47487/47487	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-b97f%22	https://getbootstrap.com/docs/4.1/components/popovers/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/popovers/index.html	(from )
14:07:30	231733/231733	---M--	200	added ('OK')	image/png	etag:%225c5071b4-38935%22	https://getbootstrap.com/docs/4.1/assets/brand/bootstrap-social.png	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/assets/brand/bootstrap-social.png	(from https://getbootstrap.com/docs/4.1/getting-started/introduction/)
14:07:31	53685/53685	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-d1b5%22	https://getbootstrap.com/docs/4.1/components/scrollspy/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/scrollspy/index.html	(from )
14:07:31	27600/27600	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-6bd0%22	https://getbootstrap.com/docs/4.1/utilities/borders/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/utilities/borders/index.html	(from )
14:07:31	22792/22792	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-5908%22	https://getbootstrap.com/docs/4.1/utilities/clearfix/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/utilities/clearfix/index.html	(from )
14:07:31	47791/47791	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-baaf%22	https://getbootstrap.com/docs/4.1/components/tooltips/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/components/tooltips/index.html	(from )
14:07:31	20889/20889	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-5199%22	https://getbootstrap.com/docs/4.1/utilities/close-icon/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/utilities/close-icon/index.html	(from )
14:07:32	29738/29738	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-742a%22	https://getbootstrap.com/docs/4.1/utilities/display/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/utilities/display/index.html	(from )
14:07:32	33992/33992	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-84c8%22	https://getbootstrap.com/docs/4.1/utilities/colors/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/utilities/colors/index.html	(from )
14:07:32	24309/24309	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-5ef5%22	https://getbootstrap.com/docs/4.1/utilities/embed/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/utilities/embed/index.html	(from )
14:07:32	75339/75339	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-1264b%22	https://getbootstrap.com/docs/4.1/utilities/flex/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/utilities/flex/index.html	(from )
14:07:32	25103/25103	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-620f%22	https://getbootstrap.com/docs/4.1/utilities/float/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/utilities/float/index.html	(from )
14:07:33	21822/21822	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-553e%22	https://getbootstrap.com/docs/4.1/utilities/image-replacement/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/utilities/image-replacement/index.html	(from )
14:07:33	23316/23316	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-5b14%22	https://getbootstrap.com/docs/4.1/utilities/position/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/utilities/position/index.html	(from )
14:07:33	21317/21317	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-5345%22	https://getbootstrap.com/docs/4.1/utilities/screenreaders/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/utilities/screenreaders/index.html	(from )
14:07:34	21474/21474	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-53e2%22	https://getbootstrap.com/docs/4.1/utilities/shadows/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/utilities/shadows/index.html	(from )
14:07:34	69917/69917	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a637bd4-1111d%22	https://code.jquery.com/jquery-3.3.1.slim.min.js	C:/My%20Web%20Sites/Bootstrap/code.jquery.com/jquery-3.3.1.slim.min.js	(from https://getbootstrap.com/docs/4.1/getting-started/introduction/)
14:07:34	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c3e4cd4-247b%22	https://getbootstrap.com/assets/js/vendor/jquery-slim.min.js	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/assets/js/vendor/jquery-slim.min.js	(from https://getbootstrap.com/docs/4.1/getting-started/introduction/)
14:07:35	27875/27875	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-6ce3%22	https://getbootstrap.com/docs/4.1/utilities/spacing/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/utilities/spacing/index.html	(from )
14:07:35	26262/26262	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-6696%22	https://getbootstrap.com/docs/4.1/utilities/sizing/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/utilities/sizing/index.html	(from )
14:07:35	24066/24066	---MCZ	200	added ('OK')	text/html	etag:W/%225c5071b4-5e02%22	https://getbootstrap.com/docs/4.1/utilities/vertical-align/	C:/My%20Web%20Sites/Bootstrap/getbootstrap.com/docs/4.1/utilities/vertical-align/index.html	(from )
